id,sent0
202,Jason put a tea bag into his cup to make a cup of coffee
203,Harry feels grieved seeing his old friends
204,Gloria determines to lose weight so she eats less
205,"Saying ""Goodbye"", he walked out of the classroom and went home"
206,Danis put his clothes into the washing machine
207,Billy rides a horse to cross the bridge
208,Bell takes a raft rushing down the waterfall
209,George put a broom in his mouth to brush teeth
210,I closed my mouth against the bright light
211,My heart beats slower when I quicken my pace
212,Bob plays basketball with his cute dog
213,Fitz uses a pen to open the lock
214,Frank had s stomachache so he drank more cold water
215,Eric told a lie and his mother praised him
216,Henry flew to the USA sitting in a car
217,Carter opened the window of the airplane to get some fresh air
218,"On my birthday, we lighted up birthday candles for celebration"
219,the solar system is located in Earth
220,"When you smile at others, they will smile at you"
221,"His favorite color is purple, the same color as the sky"
222,Jenny ordered a hot dog in a pet store
223,I dried my hair before using shampoo
224,The man in black cured him with a bullet
225,She boiled the egg and the egg turned into liquid
226,Elisa was terrified bitten by a snake
227,"In the dark, I turn on the light to read a book"
228,Atlantic is the biggest continent in the world
229,"The cat is sitting on the blanket, because she is warm"
230,Riko drops a steel cup from the desk and the cup breaks into pieces
231,Human will starve to death without eating
232,She decided to eat more healthy foods like hamburgers
233,Max stays close to the campfire to keep warm
234,Chloe got distracted when she was bored
235,He got a cold and coughed from time to time
236,Mark ate a big bitter cherry pie
237,Gloria wears a hat on her head
238,Harry went to the barbershop to have his hair cut
239,Reilly is sleeping on the couch
240,I have a lamp on my desk
241,Eric stalled for a while so we ended up late
242,Mark called his friends with his telephone
243,My friend is cooking a meal on a stove
244,Riko made a cup of banana milkshake with apples and milk
245,My mother was preparing breakfast when I woke up in the morning
246,Mike drank too much wine so he feels sleepy now
247,My mother went to a dentist to check her teeth
248,Mike cried after hearing an interesting joke
249,She sharpened the pencil with a knife
250,Being involved in a car accident can ease your life
251,It is dark outside because it is ten am
252,Harry was terrified because of the nightmare
253,Astrid kissed him out of pure love
254,His son took the school bus to go to school
255,Throwing stones at cats is treating them badly
256,Society demands reward for criminals
257,He saw a car floating at sea
258,People can buy apples at a fruit shop
259,I should take off my trousers when swimming
260,My daughter needs bra after growing up
261,I choked on water
262,If you feel cool you may sweat
263,I go to school for playing the computer game
264,I slipped on a rock
265,I study five days a week
266,I see a student chatting with my son
267,a deaf person took part in a concert
268,I see a cripple running
269,I saw an egg walk on the road
270,a tiger is probable to beat a dog
271,I go to school with a laptop
272,now I plan to sleep so I take a coffee
273,I travel to the united states by plane
274,we should borrow things after returning them
275,I want to have light food such as steaks
276,I like swimming in the river
277,I want world peace
278,a snowman will exist forever
279,I like his toy so I can grab it
280,patients are cured by nurses
281,teachers can help you do homework
282,we should eat more sugar to protect teeth
283,we should take the ice when we catch a cold
284,in winter people wear more clothes than in summer
285,we can skate on snow
286,we can eat dirt
287,mobile phones don't need charging
288,if we are going to be late we should walk
289,you can go to the moon by rocket
290,I see a boy playing a computer
291,we have a snowball fight in winter
292,milk is made by chicken
293,"On Mars, there have many countries"
294,A student can learn how to read
295,Everyone needs to eat
296,An owl can see on a dark night
297,It is always cold in January in the northern earth
298,"To get a service or good, you don't have to pay money"
299,Cancer is a disease
300,people can feel pain
301,Fish can live in a land without water
302,Computers can eat food
303,Everyone lives in the country
304,People are able to cheat
305,If you want to dig a hole then you should use a shovel
306,Soldiers will be punished for bravery
307,Families shouldn't visit relatives during the holidays
308,I can hold up a car
309,Everyone is good-looking
310,many vegetables grow on the cement
311,A puzzle can be solved easily
312,a Cord can be used for treatment
313,You can take an airplane to visit England
314,A bus takes passengers from a bus stop
315,Ireland is a country
316,A person doesn't want moldy bread
317,Oil comes from the air
318,Planes are almost made of gold
319,you can find aliens in a zoo
320,You would sleep because you want to rest
321,If you want to go to school then you should pay your fees
322,I see a cat eating a fish
323,My dad's dad is my grandma
324,Eating is an emotion between people
325,we can buy fresh fruits and vegetables from a Coffee shop
326,You are likely to find a folder in a drawer
327,most birds include penguins can fly
328,I will feel energetic after running
329,my friends play computer games in the gymnasium
330,people feel pleasure while kissing
331,I don't like climbing because I fear of heights
332,people usually eat ice cream in summer
333,we wear thick clothes in winter
334,we can see white clouds and dark clouds in the air
335,I lie on a hamburger in my room
336,people usually use wood to put out a fire
337,people plant seeds and then harvest fruits
338,people will get dry while taking a shower
339,people can play the violin without learning
340,no one can learn from books
341,most of the leaves are red
342,I will celebrate the failure of the game
343,I will have a trip to a police office
344,I should sleep at night
345,I can drink after driving
346,I saw a baby holding a woman.
347,Today I will have lunch before breakfast.
348,I can cook any food simply
349,I saw a round pizza.
350,I saw an island on land.
351,I have free access to some museums with tickets
352,We cut down trees to protect the environment
353,People hate diseases.
354,My brother is my family member
355,I can use the money to buy some houses
356,dogs are animals
357,We communicate in the same language
358,dogs like eating meat
359,I saw a man wearing glasses of two lens.
360,I will cry if my family is dead
361,a Man should not play with violent tigers
362,I will find a job if I need money
363,I am unhappy because I am poor
364,I like cakes because I like salty food
365,He walks faster than the driving car.
366,today I will go to the amusement park to see elephants.
367,I need to eat fruits and vegetables to keep healthy.
368,"She likes flowers, so I send her roses."
369,I saw a fish breathing in the water.
370,He lay under the apple tree.
371,today I will go to my hometowns
372,My blood type is the same as some people.
373,I drink coffee before I go to bed.
374,He is a hunter afraid of little animals.
375,I use computers to play computer games.
376,I have a light bulb emitting black light.
377,some people teach monkey acrobatics
378,If you want to take a walk then you should wear shoes
379,If you want to make people laugh then you can tell a joke
380,I use the refrigerator to keep food.
381,I should learn math in my school
382,He put the stone in his hand.
383,you may always find a computer user in a wine bar
384,people can surf on the water.
385,If you want to walk on the street then you should have money
386,Pushing a bike requires much strength
387,Ennui would make you want to see a film
388,Something you find at a house is a fighter plane
389,A baby can fix a computer
390,Accidents can happen anywhere
391,blind people can watch nothing
392,A child will be a child forever
393,Batteries can power a lantern forever
394,A drought happens when insufficient rain falls
395,If you want to have a haircut then you should go to a library
396,If you want to read a book then you should get it from the library
397,The effect of attending a classical concert is falling asleep
398,Something that might happen when you diminish your own hunger is eat
399,Something you find in the home is actors
400,Going on strike is for winning concessions from employers
401,a person is anxious for undesired things
402,You are likely to find a grape in a fruit bowl
403,Something you find in downtown is a volcano
404,His hair is getting shorter after a haircut
405,He took the paper out of the printer and printed it
406,taking a walk is good for health in general
407,People usually eat fresh bread
408,People can make friends in clubs
409,He is a thrifty man and he often wastes food
410,He was very energetic because he stayed up late last night
411,he goes to the cinema to watch animals
412,students usually play their mobile phones in class time
413,We make cakes with butter and wood
414,many people will die in war
415,he is healthy and always takes medicine
416,Cowardly people hate horror movies
417,People usually fly in the sky
418,He washes clothes in a washing machine
419,No living thing can live in the sea
420,People like to wear wet clothes
421,He is younger than his father
422,People can read books in the library
423,People can go back to where they are after they circle the earth
424,human can't live on the sun
425,most fishes can swim
426,You might feel irritated when you're stuck in traffic
427,We will get pins and needles from sitting or standing for long periods of time
428,Cats and mice are good friends
429,The sea is salty and bitter
430,Fireflies can make light
431,Flowers have only one color
432,Hail comes in the warm season
433,A man with a big head must be clever
434,Breathing through the nose is healthy
435,You can't eat sprouted potatoes
436,Waste batteries can be thrown away at will
437,Vitamin C should not be eaten with seafood
438,Smoking is not allowed in public places
439,children need eight hours of sleep every day
440,Ears can smell
441,the Football is played by hand
442,Dinner should be around one o'clock
443,Westerners like the number thirteen
444,eating fruits is good for health
445,children need to drink milk before going to school
446,I play football every day because I love playing football
447,"it is rainy, so we can play football outside"
448,students have to take notes in class
449,Tokyo is in China
450,"In the evening, I will eat dinner"
451,"I am tired, so I need to go to work"
452,birds live in the ocean
453,there are different kinds of trees in the ocean
454,I take a television to school every day
455,"the bag is too weighty, so I cannot hold it"
456,I am ill so I need to see an actor
457,I work hard so I fail the exam finally
458,I finished my work late last night so I am energetic now
459,it is summer so I need to put on more clothes
460,I get up too early so I will be late for school
461,I am hungry now so I am going to a restaurant
462,the food tastes awful so I want to eat it again
463,most grasses are green
464,we meet snakes in the forest
465,he put out the fire with oil
466,he often listens to the video
467,there is a blackboard in the front of the classroom
468,we take photos of snowflakes in winter
469,he uses a bamboo basket to fetch water
470,they feel colder after the snow
471,He cut metal with scissors
472,my family fly kites on sunny days
473,An ant knocked down a tree
474,they search penguins in the Arctic
475,we hear thunder first in thunderstorm days
476,the cat caught a mouse
477,some birds are flying in the sky
478,he built a snowman on a winter day
479,most plants provide carbon dioxide for the human
480,wheat grows in the ocean
481,he saw seven colors when the rainbow appears
482,thirst would make you want to sleep
483,People usually grow grey hair when old
484,African skin is mostly black
485,Close relatives are not usually allowed to marry
486,Goldfish usually sleep with their eyes closed
487,the color of Animal blood includes not only red
488,All animals are active in winter
489,Many insects have a sense of smell
490,The fish is sweet
491,The turtle usually lives very short
492,The leaves of many trees fall in autumn
493,Bones are soft
494,the Fire has many colors
495,Silverware is good for food
496,The seawater is blue
497,Mineral water is drinkable
498,We usually hear thunder first and then see lightning
499,Human tears are generally sweet
500,Cats generally like to eat vegetables
501,The audiences of concerts are usually quiet
502,wild geese fly south in winter In the northern hemisphere
503,"In nature, the leaves of all plants are oval"
504,There may be a rainbow after the rain
505,Paralympic Games are for the disabled
506,Cloth bags can hold water
507,when it snows it isn't cold
508,I am born in China so I am Chinese
509,humans walk with four legs
510,a car is a kind of motor vehicle
511,sea water is sweet
512,If you want to go on the internet then you should buy a computer
513,Christmas is the twelfth month of the year
514,we can judge whether one can buy a beer by his age
515,Peace brings suffering
516,parents love their kids
517,If you want to sleep you need to go to bathroom
518,a pig can lay eggs
519,I love music so I play the piano every day
520,Raincoats are used on rainy days
521,nurses teach students
522,My grandmother is so kind that everyone likes her
523,we develop our friendship by chatting with each other
524,an eraser can be used to write on paper
525,I sang at the party
526,The south pole is very hot
527,Ordinary cars have four wheels
528,Ears are for listening
529,I talk to English native speakers to improve my English speaking
530,The words are so big that I cannot read them clearly
531,I run every day to exercise
532,I ran so fast that I won the championship
533,Comedy makes me laugh
534,I like mathematics so I majored in mathematics
535,I am rich so I can buy a Lamborghini
536,snakes are able to swim
537,the paper is made from wood
538,we use soap to clean our hair
539,a rabbit can eat a frog
540,we often wear a scarf in the summer
541,A student will be sad if he doesn't pass the exam
542,it's possible to Ski in Russia
543,Smuggling drugs is a nasty business
544,the firstborn child is youngest and other children are older
545,It costs very little to buy gold
546,If you want to sew then you should get a gun
547,Sometimes people put gloves on their hands
548,"When you are near-sighted, you can't see things near at hand"
549,People can live without food for a long time
550,The clothes will be clean after being washed
551,we can just wait for their self-healing after we break our legs
552,Being sedentary is a good thing
553,a Dog usually bite strangers when it sees them
554,Ripe apples are hot
555,All the birds can fly
556,People usually don't use pillows when they sleep
557,People usually use tableware when they eat
558,people bath in the bathroom
559,People usually wash their hair with shampoo
560,The moon is brighter than the sun
561,People usually sit in chairs
562,I opened the wardrobe to illuminate the room
563,Men usually use lipstick
564,Vegetarian usually like eating meat
565,Dogs can eat chocolate
566,We can know the time through the watch
567,People usually eat the peel of the watermelon
568,Everyone can eat peanuts
569,People usually can't smell the fragrance of jasmine
570,Most people with cancer die
571,People can't take drugs at will
572,Hens can give birth to chickens directly
573,The tortoise usually runs faster than the rabbit
574,Students should do homework
575,Most people are afraid of snakes
576,I have the same name as him
577,anyone can be a Marathoner
578,People can't find others lying
579,A dermatologist can cure skin disease
580,We can hurt others at will
581,All oranges are sweet
582,People often eat in the toilet
583,A chair usually has four legs
584,Many people drink coffee to refresh themselves
585,We put the clothes in the washing machine
586,Hot dogs are not dogs
587,We can work seven days a week
588,Poor sleep can lead to high energy levels
589,Getting a Ph.D. is an easy task
590,I take an ax to cut wood
591,Burning garbage makes the environment better
592,The sun ceases to shine at night
593,the diabetic cannot eat candy at will
594,"If people have something urgent to go to a place, they usually walk"
595,You can use the air conditioner without electricity
596,Most people don't need friends
597,Trees can have no bark
598,You can find two identical leaves
599,the sun won't stay on all day
600,Most people don't like mice
601,You can drive on the highway without a driving license
602,You can find the Eiffel Tower in France
603,People don't need to wear clothes
604,Most people forget things sometimes
605,Ugly boys are more likely to find girlfriends
606,When we get sick we go to school
607,"When we want to listen to the song, we can use a USB plate"
608,We can observe a star with a telescope
609,Fire is common in the sea
610,People who are allergic to potatoes can eat chips
611,Mars is not habitable
612,A working guitar can have no strings
613,"When something breaks, we can glue them with water"
614,Germinated sweet potatoes cannot be eaten
615,All flowers have fragrance
616,Some trees do not fall leaves in autumn
617,females are found at beauty salons more often than males
618,apple juice is made of bananas
619,the Heartbeat is faster in children than in adults normally
620,a baton is used for playing music
621,You can see the pine trees blooming
622,Clouds come in all kinds of colors
623,the sky is black in the evening
624,I go to work to earn money
625,My hair is too short so I need a haircut
626,People think more efficiently in noisy environments
627,I'm grazing tigers
628,Working all day is very tiring
629,A bed is a comfortable place to sleep
630,Something you find at the airport is an airplane
631,winners can get prizes
632,smoking is good
633,I will confirm my email through my computer
634,air is free
635,the bike is an old invention
636,There is ink in the pen so we can write
637,I like European culture because I traveled to Canada last year
638,The last thing you do when you visit a museum is buying a ticket
639,many people can feel that death is the start of life
640,A pig is an animal
641,television is a device you use to contact people
642,you would buy French fries because they are healthy for you to eat
643,a person wants to buy ugly things
644,a joke can make you laugh
645,a ruler can be used to cut things
646,The snow is wet
647,The desert is lack of water
648,the universe is very small
649,car engines can use oil
650,Time is changing
651,The car is driving slowly on the highway
652,Wallets can be used to put computers.
653,College is usually free
654,Children can play with guns
655,Eating too much often makes people fat
656,Music is usually loved by people
657,People usually drink white milk
658,We can see dinosaurs playing with people
659,We can visit the website through books
660,We can write on paper with a pen
661,Children usually like toys
662,We can buy human in the supermarket
663,Humans usually hate viruses
664,Those who break the law will be rewarded
665,people usually need to sleep
666,A room with windows is usually dark at day
667,Most modern houses are made of concrete
668,People should wear seatbelts when driving
669,People are usually afraid of sharks
670,Alarm clocks usually help people fall asleep
671,People usually hold umbrellas on cloudy days
672,Thieves are glad of seeing the police
673,"He wore a ring on his ring finger, but he was single"
674,People will go to doctors when they get sick
675,People can drink seawater when they are thirsty
676,People use electric fans when they are hot
677,Tourists usually take cameras with them
678,Students should be indulged in games
679,Dogs can help police search for drugs
680,Diamonds can't cut glass
681,applicants can give their bosses jobs
682,People usually use sunscreen in the sun
683,It's easy for people to find gems
684,You can't ask the stewardess for help while flying
685,We can't see salt in water
686,Most people hate cats
687,we can see blood in human's wounds
688,People usually put their quilts in bed
689,sheepherders usually feed sheep with meat
690,People shouldn't add gasoline to cars
691,People usually watch movies in cinemas
692,spending money is to get happiness
693,Tulip is my favorite flower
694,This area is dangerous so you have to be careful
695,the first thing you do when you eat something is opening your mouth
696,He is seventy years old so it is time for him to retire
697,paper can be used to make musical instruments
698,musical instruments can be used to play baseball
699,What you see in the room is a cat
700,Tokyo is one of the largest countries in the world
701,We usually press the button of elevators with our toes
702,A church is a place where people sleep
703,paper can be made from wood
704,If you want to see then you should open your mouth
705,an umbrella is for sheltering you from the wind
706,People celebrate on the day of death
707,most people look forward to a funeral someday
708,Tigers are very common pets
709,pigs are mammals
710,I wish I had bad luck
711,His house is in the rich area so it is very expensive
712,You are likely to find a fish around in a river
713,You would go for a run because you feel energetic
714,your fingers are part of your face
715,the Vegetable salad is junk food
716,A boy is a male
717,You would go on a study because you need a break
718,He was drunk yesterday so he forgot what had happened
719,water can become ice when it freezes
720,the moon is a satellite of the earth
721,The land is very fertile so the grain grows very well
722,The arctic areas are very cold
723,The desk is for sleeping on
724,I am full so I want to eat right away
725,Somebody is sleeping so we should keep voice up
726,people want to have rude neighbors
727,the rich have a lot of money
728,We should wear formal clothes at work
729,Our government is very credible so we distrust it very much
730,These people are kind to me so I can trust him
731,He was so smart that he quickly understood the nature of the problem
732,This restaurant is so popular that it is crowded every day
733,You are likely to find a mouse around in any room of the house
734,science fiction is not real
735,Gloves can protect the head
736,The law allows us to kill people
737,A fox is a faithful companion
738,Drinking too much water can make people drunk
739,people want a dirty bathroom
740,I am five years old so I am very old
741,You would listen to music because it is enjoyable
742,People laugh when they are happy
743,A easy job is stressful
744,I am a left-handed person so I write with my left hand
745,My friend broke up with his girlfriend so I should comfort him
746,Something you need to do before you go to bed is turning on the lights
747,We will be punished for obeying the rules
748,I will travel at the work
749,We cut meat with a ruler
750,Fisherman depend on fishing for their livelihood
751,People are in danger when an earthquake happens
752,We should stay away from volcanoes
753,We need to protect the environment
754,you will have a spouse If you get divorced
755,we need to keep noisy in the museum
756,I went to the library to borrow books
757,my mother asks me to listen carefully in class
758,I drink milk every day to keep healthy
759,you need to fail the exam to get a certification
760,we are good friends so we abuse each other
761,elephants are quite little animals
762,Children need to stay away from Alcohol
763,traveling the world will broaden your horizon
764,We play football in the stadium
765,There are many guests in this restaurant because of its perfect food
766,We should stand in line when there is a queue
767,People respect him very much because he is a murderer
768,Time is abstract
769,People can breathe in the water
770,You can use leaves to feed to Sloths
771,he became one of my best friends because he is sincere
772,it is useful to read books every day
773,I am good at swimming because I have always live by the sea
774,the people in cities are usually richer than the people in the countryside
775,People usually Shed tears during exercising
776,People usually enter houses through doors
777,People usually sleep in quiet places
778,You can see many people live in the water
779,Most people can afford luxury goods
780,We need airplanes to go to the moon
781,We can hear voices in the vacuum
782,People should throw banana peels in the garbage can
783,People usually use electrical appliances with dry hands
784,People can't use plants to make paper
785,teenagers shouldn't smoke
786,people usually ask a waiter to cook
787,Bees usually live in places with few flowers
788,People shouldn't believe what happens in their dreams
789,Most countries need troops
790,Pianists usually have inflexible fingers
791,we are usually prohibited smoking in Gas stations
792,People can't know what will happen in the future
793,People like mice
794,Shepherds usually like wolves
795,People living in the desert usually save water
796,Generally speaking taking notes is a good habit
797,Materialists believe in the existence of Jesus
798,Eating kelp with Onions is not good for your health
799,We can use the ATM to get bank cards
800,Software development requires money
801,Not all boys like girls on the sexual aspect
802,We wear fewer clothes when the weather gets warmer
803,It's healthier to drink river water
804,Most of the goods are not free
805,Keys are usually made of metal
806,When the house stinks we don't want to clean it
807,Milk can be drunk at room temperature for a month after being opened
808,In order to protect the trees we should refuse to cut them down
809,In ordinary times we can't see the legendary dragon
810,Copying homework is a good thing
811,Many people go bald as they get older
812,"When we're laughing, we're generally happy"
813,The CPU is usually the core of a computer
814,It's not good to get x-rays frequently
815,Taking too much medicine is a good thing
816,"When we want to look out the window, we open the curtains"
817,When we want to log into a new website we have to register first
818,We feel tired after exercising for a long time
819,people usually use water cup to retain meal
820,The doctor usually goes to the hospital because they are sick
821,When people encounter robbers they will call the police
822,People can play on the highway
823,People can't ask a guide for help when they travel
824,People can eat a lot of junk food
825,People shouldn't pollute water resources
826,Myopic people usually need glasses
827,parks are not suitable for walking around
828,People usually run without shoes
829,People usually wear clothes made of wood
830,People can send letters with pigeons
831,People shouldn't eat a lot of sugar
832,it's easy for people without hearts to survive
833,humans are usually cautious of wild tigers
834,Snakes usually eat mice or birds
835,Most roads have trees beside them
836,humans usually breathe with their noses
837,People can use computers in the shower
838,humans usually eat with their mouths
839,Iron products are usually sensitive to rain
840,People shouldn't feed monkeys bananas
841,People usually wear sunglasses on sunny days
842,People usually knock at the door before entering
843,People usually grab crab forceps
844,Grass usually grows in spring
845,I am so relaxed that I do not know what to say
846,we are going to watch the sunset tomorrow so you need to get up early
847,a chair can be used to sit
848,doing housework is a good way to entertain ourselves
849,I need water because I am hungry
850,I love the play very much because it is wonderful
851,this company makes a lot of money because of its outdated equipment
852,there are many kinds of plants in Antarctica
853,Cosmetics can make me more ugly
854,Basketball is spherical
855,The monitor is a part of the computer
856,this novel is too thin to finish quickly
857,People can make up in the bathroom
858,People can't talk loudly in hospitals
859,You can't see the living dragon
860,Soldiers are usually very strong
861,People shouldn't drink tea
862,People shouldn't tell strangers the address of their families
863,You can touch the software with your hands
864,You can save drowning people if you can swim
865,People should correct their mistakes
866,People usually see lightning on sunny days
867,People go to school for studying
868,Doctors need to write papers
869,People usually drive tanks at sea
870,People should destroy the collections in museums
871,People usually like pet dogs
872,People can usually see chickens on the ground
873,People usually hate to travel
874,People can judge the direction by the sun
875,Businessmen are usually rude to their guests
876,I can pass the shopping mall easily because it is empty
877,we cannot live without wine
878,children are encouraged to be dishonest
879,Love is a terrible feeling
880,water has the effect of making things dry
881,we can drive with a driver's license
882,People usually wear clothes when they take a bath
883,People should wash dirty clothes
884,People usually drink clean water
885,People usually like gold
886,Students usually do their homework in bed
887,Wheat is of no use to human beings
888,Humans usually like eating mice
889,Children should play with toys
890,People don't need to use air conditioning on the day in a temperature
891,People are usually upset when they fall down
892,People need to work on holidays
893,People usually read books when they walk
894,People usually don't need condiments while cooking
895,People usually feed tiger grass in zoos
896,People can usually see snow in the summer
897,Some people were born on February twentieth
898,People can open locked boxes directly
899,It's easy for people to see their neighbors
900,People usually pack food on plates
901,people usually marry the one they hate
902,People usually go to the gym for eating
903,People usually go fishing in sand
904,The temperature during the day is usually lower than at night
905,People usually dry themselves with towels
906,We can use the cup to catch water
907,People can use calculators to make telephone calls
908,The Earth revolves around the sun
909,Beer contains water
910,elephants are small animals
911,we can see tigers in the zoo
912,the fruit is a kind of food
913,Models are usually very short
914,Books are made of paper
915,my bag is full of chairs
916,the movie is so boring that I fall asleep
917,this land is so barren that trees grow well
918,this article is so brief that I can read it easily
919,it is dangerous to swim in the sea
920,The soldiers were very patriotic and they attack their country
